Debit/Credit,Date,Description,Table Heading, Amount , Outstanding Balance ,,,In QB?,Date,Account
Debit,3/5/2020,Card Purchase 03/04 Amzn Mktp US*Cb8ND9X Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-76.18,"302,802.10",,0,,,
Credit,3/5/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"2,620.00","305,422.10",,0,,,
Debit,3/5/2020,Recurring Card Purchase 03/04 Fedex 507871928 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-56.83,"305,365.27",,0,,,
Debit,3/5/2020,Card Purchase 03/03 United Westway293400 Long Island C NY Card 0698,Atm & Debit Card Withdrawals,-24.35,"305,340.92",,0,,,
Credit,3/6/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,540.00","306,880.92",,0,,,
Debit,3/6/2020,Card Purchase 03/05 Taxi Svc Woodside Woodside NY Card 0698,Atm & Debit Card Withdrawals,-14.16,"306,866.76",,0,,,
Debit,3/6/2020,Quickpay With Zelle Payment To Max Flatow Jpm338995651,Electronic Withdrawals,"-1,300.00","305,566.76",,0,,,
Credit,3/9/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,305.00","306,871.76",,0,,,
Credit,3/9/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"3,000.00","309,871.76",,0,,,
Debit,3/9/2020,Card Purchase 03/04 Houseman New York NY Card 0698,Atm & Debit Card Withdrawals,-61.18,"309,810.58",,0,,,
Credit,3/9/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"2,495.00","312,305.58",,0,,,
Debit,3/9/2020,Card Purchase 03/08 Prime Video*K398E1Gz3 888-802-3080 WA Card 0698,Atm & Debit Card Withdrawals,-3.99,"312,301.59",,0,,,
Debit,3/9/2020,Card Purchase 03/08 Amazon Digit*Hh2355G Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-6.99,"312,294.60",,0,,,
Debit,3/9/2020,Venmo Payment 3203767783 Web ID: 3264681992,Electronic Withdrawals,-700,"311,594.60",,0,,,
Debit,3/10/2020,Recurring Card Purchase 03/10 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-9.99,"311,584.61",,0,,,
Credit,3/10/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,530.00","313,114.61",,0,,,
Credit,3/11/2020,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"3,670.00","316,784.61",,0,,,
Credit,3/12/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,525.00","318,309.61",,0,,,
Debit,3/12/2020,Recurring Card Purchase 03/11 Fedex 324153961 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-127.97,"318,181.64",,0,,,
Debit,3/13/2020,Card Purchase With Pin 03/13 Usps Kiosk 35960 90 Ch New York NY Card 0698,Atm & Debit Card Withdrawals,-4.6,"318,177.04",,0,,,
Debit,3/13/2020,Card Purchase With Pin 03/13 Usps Kiosk 35960 90 Ch New York NY Card 0698,Atm & Debit Card Withdrawals,-42.15,"318,134.89",,0,,,
Debit,3/13/2020,Recurring Card Purchase 03/12 Fedex 508727583 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-20.59,"318,114.30",,0,,,
Debit,3/13/2020,Card Purchase With Pin 03/13 Usps Kiosk 35960 90 Ch New York NY Card 0698,Atm & Debit Card Withdrawals,-4.6,"318,109.70",,0,,,
Credit,3/13/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,770,"318,879.70",,0,,,
Debit,3/13/2020,Recurring Card Purchase 03/13 Stamps.Com 855-608-2677 CA Card 0698,Atm & Debit Card Withdrawals,-19.59,"318,860.11",,0,,,
Debit,3/13/2020,Card Purchase With Pin 03/13 Usps Kiosk 35960 90 Ch New York NY Card 0698,Atm & Debit Card Withdrawals,-16.5,"318,843.61",,0,,,
Credit,3/13/2020,ATM Check Deposit 03/13 345 Hudson St New York NY Card 0698,Deposits And Additions,"8,225.00","327,068.61",,0,,,
Debit,3/16/2020,Recurring Card Purchase 03/13 Fedex 508835371 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-151.31,"326,917.30",,0,,,
Debit,3/16/2020,Card Purchase 03/16 Amzn Mktp US*165L353 Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-40.27,"326,877.03",,0,,,
Credit,3/16/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,520.00","328,397.03",,0,,,
Debit,3/16/2020,Recurring Card Purchase 03/13 Vbs*Vonage Business 866-901-0242 GA Card 0698,Atm & Debit Card Withdrawals,-83.08,"328,313.95",,0,,,
Debit,3/16/2020,Recurring Card Purchase 03/15 Fedex 508933933 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-75.98,"328,237.97",,0,,,
Credit,3/16/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,050.00","329,287.97",,0,,,
Credit,3/17/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,165,"329,452.97",,0,,,
Debit,3/17/2020,03/17 Online Payment 9313423390 To Marjorie Meisberger,Electronic Withdrawals,-240,"329,212.97",,0,,,
Debit,3/17/2020,"Quickpay With Zelle Payment To Janet Benson, Inc. 9310282398",Electronic Withdrawals,"-1,223.74","327,989.23",,0,,,
Debit,3/17/2020,"Quickpay With Zelle Payment To Janet Benson, Inc. 9310284814",Electronic Withdrawals,-563.4,"327,425.83",,0,,,
Debit,3/18/2020,Recurring Card Purchase 03/17 Fedex 324340173 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-81.79,"327,344.04",,0,,,
Debit,3/18/2020,03/18 Online Payment 9318847822 To Getty Images,Electronic Withdrawals,"-2,000.00","325,344.04",,0,,,
Debit,3/18/2020,03/18 Online Domestic Wire Transfer Via: Capital One NA/021407912 A/C: Guastavinos Inc,Electronic Withdrawals,"-8,717.95","316,626.09",,0,,,
Debit,3/18/2020,03/18 Online Payment 9317980154 To Cristaux,Electronic Withdrawals,-311.74,"316,314.35",,0,,,
Debit,3/18/2020,Recurring Card Purchase 03/17 Fedex 324360787 Memphis TN Card 0698,Atm & Debit Card Withdrawals,-6.2,"316,308.15",,0,,,
Debit,3/18/2020,03/18 Online Payment 9318828661 To Audere Media,Electronic Withdrawals,"-11,000.00","305,308.15",,0,,,
Credit,3/18/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"2,015.00","307,323.15",,0,,,
Debit,3/18/2020,03/18 Online Payment 9318836403 To Bernstein & Associates,Electronic Withdrawals,"-1,250.00","306,073.15",,0,,,
Debit,3/18/2020,03/18 Online ACH Payment 5244997619 To Michele Cobb (_######6800),Electronic Withdrawals,"-10,242.55","295,830.60",,0,,,
Debit,3/18/2020,03/18 Online Payment 9318833447 To L Marques,Electronic Withdrawals,-750,"295,080.60",,0,,,
Debit,3/19/2020,Card Purchase 03/18 The Trevor Project 310-271-8845 CA Card 0698,Atm & Debit Card Withdrawals,"-1,000.00","294,080.60",,0,,,
Debit,3/19/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,"-1,220.00","292,860.60",,0,,,
Debit,3/20/2020,03/20 Online Payment 9330742243 To Chelsea Carpenter,Electronic Withdrawals,-295,"292,565.60",,0,,,
Credit,3/20/2020,Online Transfer From Chk ...7365 Transaction#: 9326944658,Deposits And Additions,275,"292,840.60",,0,,,
Debit,3/20/2020,03/19 Online Payment 9325513175 To Bryn Austin,Electronic Withdrawals,-275,"292,565.60",,0,,,
Credit,3/20/2020,Paypal Transfer PPD ID: Paypalsdw1,Deposits And Additions,343.86,"292,909.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Aida Reluzco 9326908681,Electronic Withdrawals,-295,"292,614.46",,0,,,
Credit,3/20/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,245,"292,859.46",,0,,,
Debit,3/20/2020,03/19 Online Payment 9325506432 To Lewis Arlt,Electronic Withdrawals,-275,"292,584.46",,0,,,
Debit,3/20/2020,03/19 Online Payment 9325522552 To Amy Bentley,Electronic Withdrawals,-295,"292,289.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Barrie Kreinik Jpm344788420,Electronic Withdrawals,-275,"292,014.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Sean Duregger Jpm344787418,Electronic Withdrawals,-275,"291,739.46",,0,,,
Debit,3/20/2020,03/20 Online Transfer To Chk ...7365 Transaction#: 9330790648,Electronic Withdrawals,-335,"291,404.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Tom Dheere 9327222568,Electronic Withdrawals,-100,"291,304.46",,0,,,
Debit,3/20/2020,03/20 Online Payment 9327603810 To Sarah Nessel,Electronic Withdrawals,-295,"291,009.46",,0,,,
Debit,3/20/2020,03/20 Online Payment 9327461505 To Alan Taylor,Electronic Withdrawals,-295,"290,714.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Patrick Smith 9327279158,Electronic Withdrawals,-275,"290,439.46",,0,,,
Debit,3/20/2020,03/20 Online Payment 9330750921 To Christina Delaine Costalas,Electronic Withdrawals,-275,"290,164.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Maxwell L. Anderson 9327272613,Electronic Withdrawals,-295,"289,869.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Lisa Negron 9327286997,Electronic Withdrawals,-315,"289,554.46",,0,,,
Debit,3/20/2020,Quickpay With Zelle Payment To Caroline Hewitt Jpm344787992,Electronic Withdrawals,-375,"289,179.46",,0,,,
Debit,3/20/2020,03/20 Online Payment 9327438362 To Courtney Patterson,Electronic Withdrawals,-375,"288,804.46",,0,,,
Debit,3/20/2020,03/20 Online Payment 9327586432 To Brian Wiggins,Electronic Withdrawals,-275,"288,529.46",,0,,,
Debit,3/23/2020,03/23 Online Payment 9341942892 To Vivienne Leheny,Electronic Withdrawals,-275,"288,254.46",,0,,,
Credit,3/23/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,165,"288,419.46",,0,,,
Debit,3/23/2020,Venmo Payment 3259814079 Web ID: 3264681992,Electronic Withdrawals,-275,"288,144.46",,0,,,
Debit,3/23/2020,03/23 Online Payment 9341888330 To Penguin Random House,Electronic Withdrawals,"-2,775.00","285,369.46",,0,,,
Debit,3/23/2020,03/23 Online Payment 9342058915 To Sean Okane,Electronic Withdrawals,-275,"285,094.46",,0,,,
Debit,3/23/2020,03/23 Online Payment 9341937324 To Francis G Kearney,Electronic Withdrawals,-275,"284,819.46",,0,,,
Debit,3/23/2020,Paypal Echeck Ebmo Web ID: Paypalec88,Electronic Withdrawals,-295,"284,524.46",,0,,,
Debit,3/23/2020,Venmo Payment 3259891321 Web ID: 3264681992,Electronic Withdrawals,-275,"284,249.46",,0,,,
Debit,3/23/2020,April Doty Iat Paypal 1008339987322 Web ID: 770510487C,Electronic Withdrawals,-275,"283,974.46",,0,,,
Debit,3/23/2020,Venmo Payment 3261746058 Web ID: 3264681992,Electronic Withdrawals,-275,"283,699.46",,0,,,
Debit,3/23/2020,Venmo Payment 3261750929 Web ID: 3264681992,Electronic Withdrawals,-295,"283,404.46",,0,,,
Debit,3/23/2020,03/23 Online Payment 9342066205 To Jennifer Odonnell,Electronic Withdrawals,-275,"283,129.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345292688 To Zura Johnson,Electronic Withdrawals,-295,"282,834.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345256901 To Jeff Mack,Electronic Withdrawals,-375,"282,459.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345582326 To Devon Sorvari,Electronic Withdrawals,-275,"282,184.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345590028 To Phil Thron,Electronic Withdrawals,-295,"281,889.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345548897 To Gryphon Corpus,Electronic Withdrawals,-295,"281,594.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345622236 To George Newbern,Electronic Withdrawals,-275,"281,319.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345639315 To Zimmerman,Electronic Withdrawals,-275,"281,044.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345616083 To Sarah Naughton,Electronic Withdrawals,-275,"280,769.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345644975 To Callie Beaulieu,Electronic Withdrawals,-295,"280,474.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345563845 To David Marantz,Electronic Withdrawals,-295,"280,179.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345283957 To Gary J. Chambers,Electronic Withdrawals,-295,"279,884.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345610717 To Lisa Larsen,Electronic Withdrawals,-275,"279,609.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345267725 To Garrett Michael Brown,Electronic Withdrawals,-315,"279,294.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345261614 To Melissa Williams,Electronic Withdrawals,-275,"279,019.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345362053 To Jill Rolls,Electronic Withdrawals,-295,"278,724.46",,0,,,
Debit,3/24/2020,03/24 Online Transfer To Chk ...7365 Transaction#: 9345499494,Electronic Withdrawals,-275,"278,449.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345574885 To Bob Neufeld,Electronic Withdrawals,-295,"278,154.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345538700 To Tantor Media,Electronic Withdrawals,"-1,770.00","276,384.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345528309 To Zoe Watkins,Electronic Withdrawals,-375,"276,009.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345301176 To Aimee Lilly,Electronic Withdrawals,-295,"275,714.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345507151 To Karissa Vacker,Electronic Withdrawals,-295,"275,419.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345520725 To Sandra Murphy,Electronic Withdrawals,-295,"275,124.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345367957 To Emily Sutton-Smith,Electronic Withdrawals,-295,"274,829.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345339131 To Laura Petersen,Electronic Withdrawals,-295,"274,534.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345307799 To Rich Miller,Electronic Withdrawals,-295,"274,239.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345334598 To Tim Paige,Electronic Withdrawals,-295,"273,944.46",,0,,,
Debit,3/24/2020,03/24 Online Transfer To Chk ...7365 Transaction#: 9345500391,Electronic Withdrawals,-275,"273,669.46",,0,,,
Debit,3/24/2020,03/24 Online Payment 9345512330 To Thomas Weitzel,Electronic Withdrawals,-295,"273,374.46",,0,,,
Debit,3/25/2020,Card Purchase 03/25 Amzn Mktp US*Ai74X8A Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-23.95,"273,350.51",,0,,,
Credit,3/25/2020,Bill.Com Verify 016Lwzfja1Cympg CCD ID: 2204895317,Deposits And Additions,0.05,"273,350.56",,0,,,
Debit,3/25/2020,Card Purchase 03/25 Amzn Mktp US*Yp31F9I Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-16.32,"273,334.24",,0,,,
Credit,3/25/2020,Venmo Refund PPD ID: 4264681992,Deposits And Additions,295,"273,629.24",,0,,,
Debit,3/25/2020,Venmo Payment 3274412557 Web ID: 3264681992,Electronic Withdrawals,-295,"273,334.24",,0,,,
Debit,3/25/2020,Bill.Com Verify 016Lwzfja1Cympg CCD ID: 2204895317,Electronic Withdrawals,-0.05,"273,334.19",,0,,,
Debit,3/25/2020,Bill.Com Payables 016Tulfdh1Cx743 CCD ID: 1204895317,Electronic Withdrawals,-925,"272,409.19",,0,,,
Debit,3/25/2020,Card Purchase 03/24 Bhn*Giftcards 877-9443822 CA Card 0698,Atm & Debit Card Withdrawals,-223.8,"272,185.39",,0,,,
Debit,3/25/2020,Card Purchase 03/25 Prime Video*Pn3Ql7HI3 888-802-3080 WA Card 0698,Atm & Debit Card Withdrawals,-1.99,"272,183.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354705522 To Timothy Pabon,Electronic Withdrawals,-295,"271,888.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354906759 To Caitlin Sporborg,Electronic Withdrawals,-295,"271,593.40",,0,,,
Credit,3/26/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,495,"272,088.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354921030 To Ferdelle Capistrano,Electronic Withdrawals,-295,"271,793.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354893086 To Fajer AL-Kaisi,Electronic Withdrawals,-275,"271,518.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354746420 To Jon Frazier,Electronic Withdrawals,-375,"271,143.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354693721 To Catherine Wenglowski,Electronic Withdrawals,-295,"270,848.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354880507 To Justine Eyre,Electronic Withdrawals,-275,"270,573.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354782116 To Kc Johnston,Electronic Withdrawals,-315,"270,258.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354799524 To Laura Knight Keating,Electronic Withdrawals,-750,"269,508.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354874081 To Xe Sands,Electronic Withdrawals,-295,"269,213.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354856140 To David De Vries,Electronic Withdrawals,-375,"268,838.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354820177 To Emily Ellet,Electronic Withdrawals,-295,"268,543.40",,0,,,
Debit,3/26/2020,03/26 Online Payment 9354679583 To Nicole Vilencia Hazard,Electronic Withdrawals,-295,"268,248.40",,0,,,
Debit,3/27/2020,Paypal Inst Xfer Karenscreat Web ID: Paypalsi77,Electronic Withdrawals,-295,"267,953.40",,0,,,
Debit,3/27/2020,Paypal Inst Xfer Maryjanecon Web ID: Paypalsi77,Electronic Withdrawals,-295,"267,658.40",,0,,,
Credit,3/27/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,065.00","268,723.40",,0,,,
Debit,3/27/2020,Card Purchase 03/26 Amzn Mktp US*Nq7Zj6R Amzn.Com/Bill WA Card 0698,Atm & Debit Card Withdrawals,-157.86,"268,565.54",,0,,,
Credit,3/30/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,165,"268,730.54",,0,,,
Debit,3/30/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,-295,"268,435.54",,0,,,
Debit,3/30/2020,Recurring Card Purchase 03/28 Eig*Constantcontact.CO 855-2295506 MA Card 0698,Atm & Debit Card Withdrawals,-70.77,"268,364.77",,0,,,
Debit,3/31/2020,03/31 Online Payment 9377500665 To Delaney Cinnamon,Electronic Withdrawals,-275,"268,089.77",,0,,,
Debit,3/31/2020,03/31 Online Payment 9377395217 To Deepti Gupta,Electronic Withdrawals,-120,"267,969.77",,0,,,
Debit,3/31/2020,03/31 Online Payment 9377403052 To Walter Dixon,Electronic Withdrawals,-275,"267,694.77",,0,,,
Debit,4/1/2020,Venmo Payment 3297962321 Web ID: 3264681992,Electronic Withdrawals,-295,"267,399.77",,0,,,
Debit,4/1/2020,Recurring Card Purchase 04/01 Microsoft*Office 365 H Msbill.Info WA Card 0698,Atm & Debit Card Withdrawals,-108.86,"267,290.91",,0,,,
Debit,4/1/2020,Venmo Payment 3297969860 Web ID: 3264681992,Electronic Withdrawals,-275,"267,015.91",,0,,,
Debit,4/1/2020,Venmo Payment 3297967209 Web ID: 3264681992,Electronic Withdrawals,-275,"266,740.91",,0,,,
Debit,4/1/2020,Venmo Payment 3297955957 Web ID: 3264681992,Electronic Withdrawals,-275,"266,465.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Gina Rogers Jpm349274216,Electronic Withdrawals,-275,"266,190.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Danielle Gensler Jpm349202099,Electronic Withdrawals,-275,"265,915.91",,0,,,
Debit,4/1/2020,04/01 Online Payment 9381980563 To Gail Shalan,Electronic Withdrawals,-275,"265,640.91",,0,,,
Debit,4/1/2020,Venmo Payment 3297958662 Web ID: 3264681992,Electronic Withdrawals,-295,"265,345.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Leslie Ligon 9377345206,Electronic Withdrawals,-295,"265,050.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Shaun Toole 9377385531,Electronic Withdrawals,-295,"264,755.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Caroline Mclaughlin Jpm349202541,Electronic Withdrawals,-275,"264,480.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Corrie Legge 9377329317,Electronic Withdrawals,-295,"264,185.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Erik Synnestvedt Jpm349202427,Electronic Withdrawals,-375,"263,810.91",,0,,,
Debit,4/1/2020,Quickpay With Zelle Payment To Mark Sanderlin 9377320420,Electronic Withdrawals,-275,"263,535.91",,0,,,
Debit,4/1/2020,Venmo Payment 3297950686 Web ID: 3264681992,Electronic Withdrawals,-750,"262,785.91",,0,,,
Debit,4/1/2020,04/01 Online Payment 9381958334 To Suzanne Barbetta,Electronic Withdrawals,-295,"262,490.91",,0,,,
Debit,4/1/2020,Venmo Payment 3297964783 Web ID: 3264681992,Electronic Withdrawals,-295,"262,195.91",,0,,,
Debit,4/2/2020,Bankcard-8566 Mtot Disc 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,"-1,346.93","260,848.98",,0,,,
Debit,4/2/2020,Venmo Payment 3301166851 Web ID: 3264681992,Electronic Withdrawals,-315,"260,533.98",,0,,,
Debit,4/2/2020,Rebecca Ehrenpre Iat Paypal 1008459791062 Web ID: 770510487C,Electronic Withdrawals,-275,"260,258.98",,0,,,
Debit,4/3/2020,Service Charges For The Month of March,Fees,-34.95,"260,224.03",,0,,,
Credit,4/3/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"260,347.78",,0,,,
Debit,4/6/2020,04/03 Online Payment 9400946399 To Carol Monda,Electronic Withdrawals,-295,"260,052.78",,0,,,
Credit,4/6/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,513.75,"260,566.53",,0,,,
Debit,4/6/2020,Card Purchase 04/02 Linode.Com 855-4546633 NJ Card 0698,Atm & Debit Card Withdrawals,-55,"260,511.53",,0,,,
Debit,4/6/2020,04/03 Online Payment 9400882621 To Joniece Abbott-Pratt,Electronic Withdrawals,-275,"260,236.53",,0,,,
Credit,4/6/2020,Remote Online Deposit 1,Deposits And Additions,550,"260,786.53",,0,,,
Debit,4/6/2020,04/03 Online Payment 9400971800 To Gabriel Vaughan,Electronic Withdrawals,-295,"260,491.53",,0,,,
Debit,4/6/2020,Quickpay With Zelle Payment To Kitty Hendrix Jpm351343637,Electronic Withdrawals,-295,"260,196.53",,0,,,
Debit,4/6/2020,04/05 Online Payment 9407018676 To Danielle Cohen,Electronic Withdrawals,-295,"259,901.53",,0,,,
Debit,4/6/2020,04/05 Online Payment 9407026113 To Brad Enright,Electronic Withdrawals,-275,"259,626.53",,0,,,
Debit,4/6/2020,04/05 Online Payment 9407032572 To Piper Goodeve,Electronic Withdrawals,-295,"259,331.53",,0,,,
Credit,4/6/2020,Venmo Cashout PPD ID: 5264681992,Deposits And Additions,40,"259,371.53",,0,,,
Debit,4/6/2020,Quickpay With Zelle Payment To Stacy Gonzalez 9407000037,Electronic Withdrawals,-295,"259,076.53",,0,,,
Credit,4/7/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,288.75,"259,365.28",,0,,,
Credit,4/9/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,247.5,"259,612.78",,0,,,
Debit,4/10/2020,04/10 Online Payment 9430660377 To Anne Hancock,Electronic Withdrawals,-275,"259,337.78",,0,,,
Debit,4/10/2020,Recurring Card Purchase 04/10 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-9.99,"259,327.79",,0,,,
Credit,4/10/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"259,451.54",,0,,,
Debit,4/10/2020,04/10 Online ACH Payment 5247030723 To Bailey Duquette (_######9908),Electronic Withdrawals,"-3,750.00","255,701.54",,0,,,
Debit,4/10/2020,04/10 Online Payment 9430685754 To Evan Schmitt,Electronic Withdrawals,-295,"255,406.54",,0,,,
Debit,4/10/2020,04/10 Online Payment 9430674785 To Beki Lane,Electronic Withdrawals,-295,"255,111.54",,0,,,
Debit,4/10/2020,04/10 Online Domestic Wire Transfer A/C: Sweatshoppe Productions Inc Jersey City NJ,Electronic Withdrawals,"-10,300.00","244,811.54",,0,,,
Debit,4/10/2020,04/10 Online Payment 9431148008 To Audiofile,Electronic Withdrawals,"-12,070.00","232,741.54",,0,,,
Debit,4/10/2020,04/10 Online ACH Payment 5247029016 To Michele Cobb (_######6800),Electronic Withdrawals,"-8,312.72","224,428.82",,0,,,
Debit,4/10/2020,04/10 Online ACH Payment 5247030577 To Interq (_########5036),Electronic Withdrawals,"-6,000.00","218,428.82",,0,,,
Credit,4/10/2020,Online Transfer From Chk ...7365 Transaction#: 9431902967,Deposits And Additions,"10,300.00","228,728.82",,0,,,
Debit,4/10/2020,Venmo Payment 3332213672 Web ID: 3264681992,Electronic Withdrawals,-56.7,"228,672.12",,0,,,
Debit,4/13/2020,Venmo Payment 3336100721 Web ID: 3264681992,Electronic Withdrawals,-315,"228,357.12",,0,,,
Credit,4/13/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,247.5,"228,604.62",,0,,,
Debit,4/13/2020,Recurring Card Purchase 04/13 Stamps.Com 855-608-2677 CA Card 0698,Atm & Debit Card Withdrawals,-19.59,"228,585.03",,0,,,
Debit,4/14/2020,Recurring Card Purchase 04/13 Vbs*Vonage Business 866-901-0242 GA Card 0698,Atm & Debit Card Withdrawals,-83.06,"228,501.97",,0,,,
Credit,4/16/2020,Online Transfer From Chk ...7365 Transaction#: 9461493297,Deposits And Additions,"3,119.98","231,621.95",,0,,,
Debit,4/16/2020,04/16 Online Payment 9461399955 To James D. Sasser,Electronic Withdrawals,-275,"231,346.95",,0,,,
Credit,4/16/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"231,470.70",,0,,,
Credit,4/17/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,618.75,"232,089.45",,0,,,
Credit,4/20/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"232,213.20",,0,,,
Credit,4/20/2020,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"232,336.95",,0,,,
